name,variation,buy_price,sell_price,size,source,filename
apple chair,Red apple,,2480,1x1,Crafting,FtrFruitsChairApple_Remake_0_0
apple chair,Green apple,,2480,1x1,Crafting,FtrFruitsChairApple_Remake_1_0
Aquarius urn,NA,,22125,1x1,Crafting,FtrZodiacAquarius
arcade combat game,NA,64000,16000,1x1,Nook's Cranny,FtrArcadegameShooting
arcade fighting game,NA,64000,16000,1x1,Nook's Cranny,FtrArcadegameFight
arcade mahjong game,NA,64000,16000,1x1,Nook's Cranny,FtrArcadegameMahjong
arcade seat,Red,1300,325,1x1,Nook's Cranny,FtrGameChair_Remake_0_0
arcade seat,Gray,1300,325,1x1,Nook's Cranny,FtrGameChair_Remake_1_0
arcade seat,Blue,1300,325,1x1,Nook's Cranny,FtrGameChair_Remake_2_0
Aries rocking chair,NA,,12125,1x1,Crafting,FtrZodiacAries
artisanal bug cage,NA,,450,2x1,Bug-Off,FtrEventobjInsectBox
asteroid,NA,,4000,1x1,Crafting,FtrMeteo
astronaut suit,NA,,6250,1x1,Crafting,FtrSpacesuit
automatic washer,White,4500,1125,1x1,Nook's Cranny,FtrWashingmachine_Remake_0_0
automatic washer,Pink,4500,1125,1x1,Nook's Cranny,FtrWashingmachine_Remake_1_0
automatic washer,Blue,4500,1125,1x1,Nook's Cranny,FtrWashingmachine_Remake_2_0
automatic washer,Green,4500,1125,1x1,Nook's Cranny,FtrWashingmachine_Remake_3_0
automatic washer,Yellow,4500,1125,1x1,Nook's Cranny,FtrWashingmachine_Remake_4_0
automatic washer,Black,4500,1125,1x1,Nook's Cranny,FtrWashingmachine_Remake_5_0
baby chair,Red,1200,300,1x1,Nook's Cranny,FtrBabychair_Remake_0_0
baby chair,Red,1200,300,1x1,Nook's Cranny,FtrBabychair_Remake_0_1
baby chair,Red,1200,300,1x1,Nook's Cranny,FtrBabychair_Remake_0_2
baby chair,Red,1200,300,1x1,Nook's Cranny,FtrBabychair_Remake_0_3
baby chair,Red,1200,300,1x1,Nook's Cranny,FtrBabychair_Remake_0_4
baby chair,Pink,1200,300,1x1,Nook's Cranny,FtrBabychair_Remake_1_0
baby chair,Pink,1200,300,1x1,Nook's Cranny,FtrBabychair_Remake_1_1
baby chair,Pink,1200,300,1x1,Nook's Cranny,FtrBabychair_Remake_1_2
baby chair,Pink,1200,300,1x1,Nook's Cranny,FtrBabychair_Remake_1_3
baby chair,Pink,1200,300,1x1,Nook's Cranny,FtrBabychair_Remake_1_4
baby chair,Yellow,1200,300,1x1,Nook's Cranny,FtrBabychair_Remake_2_0
baby chair,Yellow,1200,300,1x1,Nook's Cranny,FtrBabychair_Remake_2_1
baby chair,Yellow,1200,300,1x1,Nook's Cranny,FtrBabychair_Remake_2_2
baby chair,Yellow,1200,300,1x1,Nook's Cranny,FtrBabychair_Remake_2_3
baby chair,Yellow,1200,300,1x1,Nook's Cranny,FtrBabychair_Remake_2_4
baby chair,Green,1200,300,1x1,Nook's Cranny,FtrBabychair_Remake_3_0
baby chair,Green,1200,300,1x1,Nook's Cranny,FtrBabychair_Remake_3_1
baby chair,Green,1200,300,1x1,Nook's Cranny,FtrBabychair_Remake_3_2
baby chair,Green,1200,300,1x1,Nook's Cranny,FtrBabychair_Remake_3_3
baby chair,Green,1200,300,1x1,Nook's Cranny,FtrBabychair_Remake_3_4
baby chair,Blue,1200,300,1x1,Nook's Cranny,FtrBabychair_Remake_4_0
baby chair,Blue,1200,300,1x1,Nook's Cranny,FtrBabychair_Remake_4_1
baby chair,Blue,1200,300,1x1,Nook's Cranny,FtrBabychair_Remake_4_2
baby chair,Blue,1200,300,1x1,Nook's Cranny,FtrBabychair_Remake_4_3
baby chair,Blue,1200,300,1x1,Nook's Cranny,FtrBabychair_Remake_4_4
baby chair,White,1200,300,1x1,Nook's Cranny,FtrBabychair_Remake_5_0
baby chair,White,1200,300,1x1,Nook's Cranny,FtrBabychair_Remake_5_1
baby chair,White,1200,300,1x1,Nook's Cranny,FtrBabychair_Remake_5_2
baby chair,White,1200,300,1x1,Nook's Cranny,FtrBabychair_Remake_5_3
baby chair,White,1200,300,1x1,Nook's Cranny,FtrBabychair_Remake_5_4
baby chair,Black,1200,300,1x1,Nook's Cranny,FtrBabychair_Remake_6_0
baby chair,Black,1200,300,1x1,Nook's Cranny,FtrBabychair_Remake_6_1
baby chair,Black,1200,300,1x1,Nook's Cranny,FtrBabychair_Remake_6_2
baby chair,Black,1200,300,1x1,Nook's Cranny,FtrBabychair_Remake_6_3
baby chair,Black,1200,300,1x1,Nook's Cranny,FtrBabychair_Remake_6_4
bamboo basket,Green bamboo,,1120,1x1,Crafting,FtrBambooBasket_Remake_0_0
bamboo basket,Dried bamboo,,1120,1x1,Crafting,FtrBambooBasket_Remake_1_0
bamboo basket,Smoke-cured bamboo,,1120,1x1,Crafting,FtrBambooBasket_Remake_2_0
bamboo bench,Green bamboo,,1280,2x1,Crafting,FtrBambooChairL_Remake_0_0
bamboo bench,Dried bamboo,,1280,2x1,Crafting,FtrBambooChairL_Remake_1_0
bamboo bench,Smoke-cured bamboo,,1280,2x1,Crafting,FtrBambooChairL_Remake_2_0
bamboo doll,NA,,2400,1x1,Crafting,FtrBambooSurprisedbox
bamboo floor lamp,Green bamboo,,1280,1x1,Crafting,FtrBambooLamp_Remake_0_0
bamboo floor lamp,Dried bamboo,,1280,1x1,Crafting,FtrBambooLamp_Remake_1_0
bamboo floor lamp,Smoke-cured bamboo,,1280,1x1,Crafting,FtrBambooLamp_Remake_2_0
bamboo noodle slide,NA,,3160,3x1,Crafting,FtrBambooSomen
bamboo partition,Green bamboo,,2020,2x0.5,Crafting,FtrBambooScreen_Remake_0_0
bamboo partition,Dried bamboo,,2020,2x0.5,Crafting,FtrBambooScreen_Remake_1_0
bamboo partition,Smoke-cured bamboo,,2020,2x0.5,Crafting,FtrBambooScreen_Remake_2_0
bamboo shelf,Green bamboo,,2400,2x1,Crafting,FtrBambooShelf_Remake_0_0
bamboo shelf,Dried bamboo,,2400,2x1,Crafting,FtrBambooShelf_Remake_1_0
bamboo shelf,Smoke-cured bamboo,,2400,2x1,Crafting,FtrBambooShelf_Remake_2_0
bamboo speaker,Green bamboo,,1230,1x1,Crafting,FtrBambooMusic_Remake_0_0
bamboo speaker,Dried bamboo,,1230,1x1,Crafting,FtrBambooMusic_Remake_1_0
bamboo speaker,Smoke-cured bamboo,,1230,1x1,Crafting,FtrBambooMusic_Remake_2_0
bamboo stool,Green bamboo,,800,1x1,Crafting,FtrBambooStool_Remake_0_0
bamboo stool,Dried bamboo,,800,1x1,Crafting,FtrBambooStool_Remake_1_0
bamboo stool,Smoke-cured bamboo,,800,1x1,Crafting,FtrBambooStool_Remake_2_0
bamboo stopblock,Green bamboo,,480,1x0.5,Crafting,FtrBambooCarstop_Remake_0_0
bamboo stopblock,Dried bamboo,,480,1x0.5,Crafting,FtrBambooCarstop_Remake_1_0
bamboo stopblock,Smoke-cured bamboo,,480,1x0.5,Crafting,FtrBambooCarstop_Remake_2_0
barbecue,Red,2500,625,1x1,Nook's Cranny,FtrBarbecuegrill_Remake_0_0
barbecue,Yellow,2500,625,1x1,Nook's Cranny,FtrBarbecuegrill_Remake_1_0
barbecue,Green,2500,625,1x1,Nook's Cranny,FtrBarbecuegrill_Remake_2_0
barbecue,White,2500,625,1x1,Nook's Cranny,FtrBarbecuegrill_Remake_3_0
barbecue,Black,2500,625,1x1,Nook's Cranny,FtrBarbecuegrill_Remake_4_0
barbell,Black,,7500,2x1,Crafting,FtrBarbell_Remake_0_0
barbell,White,,7500,2x1,Crafting,FtrBarbell_Remake_1_0
barbell,Red,,7500,2x1,Crafting,FtrBarbell_Remake_2_0
barbell,Colorful,,7500,2x1,Crafting,FtrBarbell_Remake_3_0
barrel,NA,,2100,1x1,Crafting,FtrPirateBarrel
basic teacher's desk,Standard,2000,500,2x1,Nook's Cranny,FtrSchoolTeachertable_Remake_0_0
basic teacher's desk,Wooden,2000,500,2x1,Nook's Cranny,FtrSchoolTeachertable_Remake_1_0
basic teacher's desk,Monotone,2000,500,2x1,Nook's Cranny,FtrSchoolTeachertable_Remake_2_0
basketball hoop,Blue,11000,2750,2x2,Nook's Cranny,FtrBasketgoal_Remake_0_0
basketball hoop,Green,11000,2750,2x2,Nook's Cranny,FtrBasketgoal_Remake_1_0
basketball hoop,Black,11000,2750,2x2,Nook's Cranny,FtrBasketgoal_Remake_2_0
bathroom sink,White,3300,825,1x1,Nook's Cranny,FtrWashstand_Remake_0_0
bathroom sink,Black,3300,825,1x1,Nook's Cranny,FtrWashstand_Remake_1_0
bathroom sink,Beige,3300,825,1x1,Nook's Cranny,FtrWashstand_Remake_2_0
beach chair,White,920,230,2x1,Nook's Cranny,FtrBeachbed_Remake_0_0
beach chair,Black,920,230,2x1,Nook's Cranny,FtrBeachbed_Remake_1_0
beach chair,Blue,920,230,2x1,Nook's Cranny,FtrBeachbed_Remake_2_0
beach chair,Orange,920,230,2x1,Nook's Cranny,FtrBeachbed_Remake_3_0
beach chair,Yellow,920,230,2x1,Nook's Cranny,FtrBeachbed_Remake_4_0
beach chair,Pink,920,230,2x1,Nook's Cranny,FtrBeachbed_Remake_5_0
beach towel,NA,380,95,2x1,Nook's Cranny,FtrBeachtowel_Remake_0_0
beach towel,NA,380,95,2x1,Nook's Cranny,FtrBeachtowel_Remake_0_1
beach towel,NA,380,95,2x1,Nook's Cranny,FtrBeachtowel_Remake_0_2
beach towel,NA,380,95,2x1,Nook's Cranny,FtrBeachtowel_Remake_0_3
beach towel,NA,380,95,2x1,Nook's Cranny,FtrBeachtowel_Remake_0_4
beach towel,NA,380,95,2x1,Nook's Cranny,FtrBeachtowel_Remake_0_5
beach towel,NA,380,95,2x1,Nook's Cranny,FtrBeachtowel_Remake_0_6
beekeeper's hive,Natural,,2400,1x1,Crafting,FtrBeekeepingbox_Remake_0_0
beekeeper's hive,White,,2400,1x1,Crafting,FtrBeekeepingbox_Remake_1_0
beekeeper's hive,Red,,2400,1x1,Crafting,FtrBeekeepingbox_Remake_2_0
beekeeper's hive,Blue,,2400,1x1,Crafting,FtrBeekeepingbox_Remake_3_0
beekeeper's hive,Yellow,,2400,1x1,Crafting,FtrBeekeepingbox_Remake_4_0
bidet,NA,1800,450,1x1,Nook's Cranny,FtrWCBidet
big festive tree,Colorful,,3200,2x2,Crafting,FtrTreeXmasL_Remake_0_0
big festive tree,Blue,,3200,2x2,Crafting,FtrTreeXmasL_Remake_1_0
big festive tree,Red,,3200,2x2,Crafting,FtrTreeXmasL_Remake_2_0
big festive tree,Pink,,3200,2x2,Crafting,FtrTreeXmasL_Remake_3_0
big festive tree,Gold,,3200,2x2,Crafting,FtrTreeXmasL_Remake_4_0
big festive tree,White,,3200,2x2,Crafting,FtrTreeXmasL_Remake_5_0
billiard table,Green,77000,19250,2x1,Nook's Cranny,FtrBilliard_Remake_0_0
billiard table,Red,77000,19250,2x1,Nook's Cranny,FtrBilliard_Remake_1_0
billiard table,Blue,77000,19250,2x1,Nook's Cranny,FtrBilliard_Remake_2_0
birdbath,Natural,,900,1x1,Crafting,FtrBirdbus_Remake_0_0
birdbath,Red,,900,1x1,Crafting,FtrBirdbus_Remake_1_0
birdbath,White,,900,1x1,Crafting,FtrBirdbus_Remake_2_0
birdbath,Black,,900,1x1,Crafting,FtrBirdbus_Remake_3_0
birdcage,Brown,,960,1x1,Crafting,FtrBirdcage_Remake_0_0
birdcage,Pink,,960,1x1,Crafting,FtrBirdcage_Remake_1_0
birdcage,Blue,,960,1x1,Crafting,FtrBirdcage_Remake_2_0
birdcage,White,,960,1x1,Crafting,FtrBirdcage_Remake_3_0
birdcage,Black,,960,1x1,Crafting,FtrBirdcage_Remake_4_0
birdhouse,Natural,,840,1x1,Crafting,FtrBirdhouse_Remake_0_0
birdhouse,Dark brown,,840,1x1,Crafting,FtrBirdhouse_Remake_1_0
birdhouse,Natural & white,,840,1x1,Crafting,FtrBirdhouse_Remake_2_0
birdhouse,Red & white,,840,1x1,Crafting,FtrBirdhouse_Remake_3_0
birdhouse,Blue,,840,1x1,Crafting,FtrBirdhouse_Remake_4_0
birdhouse,White,,840,1x1,Crafting,FtrBirdhouse_Remake_5_0
birthday sign,Colorful,,300,2x1,Birthday,FtrBirthdayBoard_Remake_0_0
birthday sign,Pink,,300,2x1,Birthday,FtrBirthdayBoard_Remake_1_0
birthday sign,Blue,,300,2x1,Birthday,FtrBirthdayBoard_Remake_2_0
birthday sign,Green,,300,2x1,Birthday,FtrBirthdayBoard_Remake_3_0
birthday sign,Orange,,300,2x1,Birthday,FtrBirthdayBoard_Remake_4_0
birthday sign,Gorgeous,,300,2x1,Birthday,FtrBirthdayBoard_Remake_5_0
birthday table,Colorful,,300,2x2,Birthday,FtrBirthdayTable_Remake_0_0
birthday table,Pink,,300,2x2,Birthday,FtrBirthdayTable_Remake_1_0
birthday table,Blue,,300,2x2,Birthday,FtrBirthdayTable_Remake_2_0
birthday table,Green,,300,2x2,Birthday,FtrBirthdayTable_Remake_3_0
birthday table,Orange,,300,2x2,Birthday,FtrBirthdayTable_Remake_4_0
birthday table,Gorgeous,,300,2x2,Birthday,FtrBirthdayTable_Remake_5_0
blossom-viewing lantern,Dark wood,,2880,1x1,Crafting,FtrSakuraLantern_Remake_0_0
blossom-viewing lantern,Light wood,,2880,1x1,Crafting,FtrSakuraLantern_Remake_1_0
blue corner,NA,6100,1525,2x2,Nook's Cranny,FtrRingcornerBlue_Remake_0_0
blue corner,NA,6100,1525,2x2,Nook's Cranny,FtrRingcornerBlue_Remake_0_1
blue corner,NA,6100,1525,2x2,Nook's Cranny,FtrRingcornerBlue_Remake_0_2
blue corner,NA,6100,1525,2x2,Nook's Cranny,FtrRingcornerBlue_Remake_0_3
blue corner,NA,6100,1525,2x2,Nook's Cranny,FtrRingcornerBlue_Remake_0_4
bonfire,NA,,1230,2x2,Crafting,FtrCampfire
bonsai shelf,NA,,8460,2x1,Crafting,FtrBonsaiShelf
box corner sofa,Turquoise,2700,675,1x1,Nook's Cranny,FtrBoxsofaCorner_Remake_0_0
box corner sofa,Pink,2700,675,1x1,Nook's Cranny,FtrBoxsofaCorner_Remake_1_0
box corner sofa,Orange,2700,675,1x1,Nook's Cranny,FtrBoxsofaCorner_Remake_2_0
box corner sofa,Navy blue,2700,675,1x1,Nook's Cranny,FtrBoxsofaCorner_Remake_3_0
box corner sofa,Yellow,2700,675,1x1,Nook's Cranny,FtrBoxsofaCorner_Remake_4_0
box corner sofa,Magenta,2700,675,1x1,Nook's Cranny,FtrBoxsofaCorner_Remake_5_0
box corner sofa,White,2700,675,1x1,Nook's Cranny,FtrBoxsofaCorner_Remake_6_0
box corner sofa,Black,2700,675,1x1,Nook's Cranny,FtrBoxsofaCorner_Remake_7_0
box sofa,Turquoise,2700,675,1x1,Nook's Cranny,FtrBoxsofa_Remake_0_0
box sofa,Pink,2700,675,1x1,Nook's Cranny,FtrBoxsofa_Remake_1_0
box sofa,Orange,2700,675,1x1,Nook's Cranny,FtrBoxsofa_Remake_2_0
box sofa,Navy blue,2700,675,1x1,Nook's Cranny,FtrBoxsofa_Remake_3_0
box sofa,Yellow,2700,675,1x1,Nook's Cranny,FtrBoxsofa_Remake_4_0
box sofa,Magenta,2700,675,1x1,Nook's Cranny,FtrBoxsofa_Remake_5_0
box sofa,White,2700,675,1x1,Nook's Cranny,FtrBoxsofa_Remake_6_0
box sofa,Black,2700,675,1x1,Nook's Cranny,FtrBoxsofa_Remake_7_0
Brake Tapper,NA,2700,675,1x1,Nook Shopping Promotion,FtrCompassSlot
brick oven,Red,,3820,1.5x1.5,Crafting,FtrStoneoven_Remake_0_0
brick oven,Brown,,3820,1.5x1.5,Crafting,FtrStoneoven_Remake_1_0
brick oven,White,,3820,1.5x1.5,Crafting,FtrStoneoven_Remake_2_0
brick oven,Black,,3820,1.5x1.5,Crafting,FtrStoneoven_Remake_3_0
brick well,Red,,2800,1.5x1.5,Crafting,FtrWellBrick_Remake_0_0
brick well,White,,2800,1.5x1.5,Crafting,FtrWellBrick_Remake_1_0
brick well,Gray,,2800,1.5x1.5,Crafting,FtrWellBrick_Remake_2_0
bunk bed,Silver,5000,1250,2x1,Nook's Cranny,FtrBunkbed_Remake_0_0
bunk bed,Silver,5000,1250,2x1,Nook's Cranny,FtrBunkbed_Remake_0_1
bunk bed,Silver,5000,1250,2x1,Nook's Cranny,FtrBunkbed_Remake_0_2
bunk bed,Silver,5000,1250,2x1,Nook's Cranny,FtrBunkbed_Remake_0_3
bunk bed,Silver,5000,1250,2x1,Nook's Cranny,FtrBunkbed_Remake_0_4
bunk bed,Black,5000,1250,2x1,Nook's Cranny,FtrBunkbed_Remake_1_0
bunk bed,Black,5000,1250,2x1,Nook's Cranny,FtrBunkbed_Remake_1_1
bunk bed,Black,5000,1250,2x1,Nook's Cranny,FtrBunkbed_Remake_1_2
bunk bed,Black,5000,1250,2x1,Nook's Cranny,FtrBunkbed_Remake_1_3
bunk bed,Black,5000,1250,2x1,Nook's Cranny,FtrBunkbed_Remake_1_4
bunk bed,White,5000,1250,2x1,Nook's Cranny,FtrBunkbed_Remake_2_0
bunk bed,White,5000,1250,2x1,Nook's Cranny,FtrBunkbed_Remake_2_1
bunk bed,White,5000,1250,2x1,Nook's Cranny,FtrBunkbed_Remake_2_2
bunk bed,White,5000,1250,2x1,Nook's Cranny,FtrBunkbed_Remake_2_3
bunk bed,White,5000,1250,2x1,Nook's Cranny,FtrBunkbed_Remake_2_4
bunk bed,Red,5000,1250,2x1,Nook's Cranny,FtrBunkbed_Remake_3_0
bunk bed,Red,5000,1250,2x1,Nook's Cranny,FtrBunkbed_Remake_3_1
bunk bed,Red,5000,1250,2x1,Nook's Cranny,FtrBunkbed_Remake_3_2
bunk bed,Red,5000,1250,2x1,Nook's Cranny,FtrBunkbed_Remake_3_3
bunk bed,Red,5000,1250,2x1,Nook's Cranny,FtrBunkbed_Remake_3_4
bunk bed,Blue,5000,1250,2x1,Nook's Cranny,FtrBunkbed_Remake_4_0
bunk bed,Blue,5000,1250,2x1,Nook's Cranny,FtrBunkbed_Remake_4_1
bunk bed,Blue,5000,1250,2x1,Nook's Cranny,FtrBunkbed_Remake_4_2
bunk bed,Blue,5000,1250,2x1,Nook's Cranny,FtrBunkbed_Remake_4_3
bunk bed,Blue,5000,1250,2x1,Nook's Cranny,FtrBunkbed_Remake_4_4
bunk bed,Yellow,5000,1250,2x1,Nook's Cranny,FtrBunkbed_Remake_5_0
bunk bed,Yellow,5000,1250,2x1,Nook's Cranny,FtrBunkbed_Remake_5_1
bunk bed,Yellow,5000,1250,2x1,Nook's Cranny,FtrBunkbed_Remake_5_2
bunk bed,Yellow,5000,1250,2x1,Nook's Cranny,FtrBunkbed_Remake_5_3
bunk bed,Yellow,5000,1250,2x1,Nook's Cranny,FtrBunkbed_Remake_5_4
bunk bed,Pink,5000,1250,2x1,Nook's Cranny,FtrBunkbed_Remake_6_0
bunk bed,Pink,5000,1250,2x1,Nook's Cranny,FtrBunkbed_Remake_6_1
bunk bed,Pink,5000,1250,2x1,Nook's Cranny,FtrBunkbed_Remake_6_2
bunk bed,Pink,5000,1250,2x1,Nook's Cranny,FtrBunkbed_Remake_6_3
bunk bed,Pink,5000,1250,2x1,Nook's Cranny,FtrBunkbed_Remake_6_4
Bunny Day arch,NA,,4800,3x1,Crafting,FtrEggArch
Bunny Day bed,NA,,2400,2x2,Crafting,FtrEggBedW
Bunny Day festive balloons,NA,,1200,1x1,Crafting,FtrEggBalloonB
Bunny Day merry balloons,NA,,1200,1x1,Crafting,FtrEggBalloonA
Bunny Day stool,NA,,1200,1x1,Crafting,FtrEggStool
Bunny Day table,NA,,1600,1x1,Crafting,FtrEggTableS
Bunny Day vanity,NA,,1600,1x1,Crafting,FtrEggDresser
Bunny Day wardrobe,NA,,1600,1x1,Crafting,FtrEggClosetLR
butter churn,Dark wood,,1980,1x1,Crafting,FtrButtermixer_Remake_0_0
butter churn,Natural wood,,1980,1x1,Crafting,FtrButtermixer_Remake_1_0
cacao tree,NA,2300,575,1x1,Nook's Cranny,FtrPlantCacao
campfire,NA,,30,1x1,Crafting,FtrBonfire
campfire cookware,NA,900,225,1x1,Nook's Cranny,FtrMesstin
camping cot,Green,1800,450,2x1,Starting items,FtrCampbed_Remake_0_0
camping cot,Yellow,1800,450,2x1,Starting items,FtrCampbed_Remake_1_0
camping cot,Red,1800,450,2x1,Starting items,FtrCampbed_Remake_2_0
camping cot,Blue,1800,450,2x1,Starting items,FtrCampbed_Remake_3_0
camping cot,Snow camouflage,1800,450,2x1,Starting items,FtrCampbed_Remake_4_0
camping cot,Camouflage,1800,450,2x1,Starting items,FtrCampbed_Remake_5_0
camping cot,Simple pattern,1800,450,2x1,Starting items,FtrCampbed_Remake_6_0
camping cot,Pop pattern,1800,450,2x1,Starting items,FtrCampbed_Remake_7_0
campsite sign,NA,2500,625,2x1,Nook Shopping Promotion,FtrCompassSignCamp
Cancer table,NA,,21975,1x1,Crafting,FtrZodiacCancer
candy machine,Red,2800,700,1x1,Nook's Cranny,FtrCandymachine_Remake_0_0
candy machine,Blue,2800,700,1x1,Nook's Cranny,FtrCandymachine_Remake_1_0
candy machine,Yellow,2800,700,1x1,Nook's Cranny,FtrCandymachine_Remake_2_0
candy machine,Pink,2800,700,1x1,Nook's Cranny,FtrCandymachine_Remake_3_0
Capricorn ornament,NA,,22650,2x1,Crafting,FtrZodiacCapricornus
cardboard bed,Plain,,240,2x1,Crafting,FtrCardboardBedS_Remake_0_0
cardboard bed,Labeled,,240,2x1,Crafting,FtrCardboardBedS_Remake_1_0
cardboard chair,Plain,,60,1x1,Crafting,FtrCardboardChairS_Remake_0_0
cardboard chair,Labeled,,60,1x1,Crafting,FtrCardboardChairS_Remake_1_0
cardboard sofa,Plain,,120,2x1,Crafting,FtrCardboardSofaL_Remake_0_0
cardboard sofa,Labeled,,120,2x1,Crafting,FtrCardboardSofaL_Remake_1_0
cardboard table,Plain,,240,2x2,Crafting,FtrCardboardTableL_Remake_0_0
cardboard table,Labeled,,240,2x2,Crafting,FtrCardboardTableL_Remake_1_0
cat tower,Beige,3000,750,1x1,Nook's Cranny,FtrCattower_Remake_0_0
cat tower,Brown,3000,750,1x1,Nook's Cranny,FtrCattower_Remake_1_0
cat tower,Navy blue,3000,750,1x1,Nook's Cranny,FtrCattower_Remake_2_0
cat tower,Gray,3000,750,1x1,Nook's Cranny,FtrCattower_Remake_3_0
cat tower,Pink,3000,750,1x1,Nook's Cranny,FtrCattower_Remake_4_0
cat tower,White,3000,750,1x1,Nook's Cranny,FtrCattower_Remake_5_0
cello,Natural,130000,32500,1x1,Nook's Cranny,FtrCello_Remake_0_0
cello,White,130000,32500,1x1,Nook's Cranny,FtrCello_Remake_1_0
