name,buy_price,sell_price,source,filename
chocolate herringbone wall,,1800,Crafting,RoomTexWallHerringbone01
circuit-board wall,3000,750,Saharah,RoomTexWallGeek00
cityscape wall,3000,750,Saharah,RoomSpWallNightView00
classic-library wall,,1450,Crafting,RoomTexWallLibrary00
colorful puzzle wall,1540,385,Nook's Cranny,RoomTexWallPuzzle01
colorful-tile wall,1420,355,Nook's Cranny,RoomTexWallTile02
common wall,800,200,Nook's Cranny,RoomTexWallCommon00
concrete wall,940,235,Nook's Cranny,RoomTexWallConcrete00
construction-site wall,3000,750,Saharah,RoomTexWallBlueSheet00
crepe-design wall,1550,387,Nook's Cranny,RoomTexWallCrepe00
cute blue wall,1880,470,Nook's Cranny,RoomTexWallCute02
cute red wall,1880,470,Nook's Cranny,RoomTexWallCute01
cute white wall,1880,470,Nook's Cranny,RoomTexWallCute00
cute yellow wall,1880,470,Nook's Cranny,RoomTexWallCute03
dark wooden-mosaic wall,,1800,Crafting,RoomTexWallMixPlankWood01
dark-chocolate wall,3000,750,Saharah,RoomTexWallChocolate00
desert vista,3000,750,Saharah,RoomSpWallDesert00
dig-site wall,3000,750,Saharah,RoomTexWallStratum00
dirt-clod wall,200,50,Nook's Cranny,RoomTexWallOldSoil00
dojo wall,3000,750,Saharah,RoomTexWallBaseboards00
dungeon wall,3000,750,Saharah,RoomSpWallJail00
exquisite wall,3000,750,Saharah,RoomTexWallChina00
forest wall,,44000,Crafting,RoomTexWallMushForest00
future-tech wall,3000,750,Saharah,RoomSpWallTechnology00
garbage-heap wall,,120,Crafting,RoomTexWallGarbage00
gold-screen wall,,20750,Crafting,RoomTexWallFusumaGorgeous00
golden wall,,40000,Crafting,RoomTexWallGold00
gray diner wall,2420,605,Nook's Cranny,RoomTexWallDiner02
gray molded-panel wall,1980,495,Nook's Cranny,RoomTexWallPanelMold02
gray shanty wall,620,155,Nook's Cranny,RoomTexWallTin00
gray-striped wall,1520,380,Nook's Cranny,RoomTexWallStripe02
green blossoming wall,1760,440,Nook's Cranny,RoomTexWallCountry03
green delicate-blooms wall,1900,475,Nook's Cranny,RoomTexWallManor02
green flower-print wall,1780,445,Nook's Cranny,RoomTexWallFlower01
green honeycomb-tile wall,1680,420,Nook's Cranny,RoomTexWallHoneycomb02
green intricate wall,1570,392,Nook's Cranny,RoomTexWallFlowerPop02
green molded-panel wall,1980,495,Nook's Cranny,RoomTexWallPanelMold03
green painted-wood wall,1650,412,Nook's Cranny,RoomTexWallPaintWood01
green playroom wall,2540,635,Nook's Cranny,RoomTexWallToy02
green-paint wall,1600,400,Nook's Cranny,RoomTexWallStucco04
groovy wall,1280,320,Nook's Cranny,RoomTexWallPsyche00
harmonious wall,1780,445,Nook's Cranny,RoomTexWallOriental00
heavy-curtain wall,3000,750,Saharah,RoomTexWallThickCurtain00
honeycomb wall,,3600,Crafting,RoomTexWallHoney00
honeycomb-tile wall,1680,420,Nook's Cranny,RoomTexWallHoneycomb00
ice wall,,8200,Snowman,RoomSpWallIce00
iceberg wall,,4000,Crafting,RoomTexWallIceFloe00
imperial wall,3000,750,Saharah,RoomTexWallDynasty00
industrial wall,3000,750,Saharah,RoomTexWallFactory00
ivy wall,3000,750,Saharah,RoomTexWallIvy00
Jingle wall,,2500,Crafting,RoomSpWallXmas00
jungle wall,,1380,Crafting,RoomTexWallJungle00
kisses wall,3000,750,Saharah,RoomTexWallKiss00
laboratory wall,3000,750,Saharah,RoomSpWallLabo00
lattice wall,1780,445,Nook's Cranny,RoomTexWallLattice00
magma-cavern wall,3000,750,Saharah,RoomSpWallVolcano00
manga-library wall,,1050,Crafting,RoomTexWallLibrary01
mangrove wall,3000,750,Saharah,RoomTexWallMangrove00
marine pop wall,,805,Fishing Tourney,RoomTexWallFish00
meadow vista,3000,750,Saharah,RoomSpWallHighLands00
misty-garden wall,3000,585,Saharah,RoomSpWallRain00
mod wall,1220,305,Nook's Cranny,RoomTexWallMod00
modern shoji-screen wall,1150,287,Nook's Cranny,RoomSpWallShojiModem00
modern tearoom wall,1750,437,Nook's Cranny,RoomTexWallMud02
modern wood wall,,1800,Crafting,RoomTexWallMixwood00
monochromatic dotted wall,1100,275,Nook's Cranny,RoomTexWallDot00
monochromatic-tile wall,1420,355,Nook's Cranny,RoomTexWallTile00
mortar wall,3000,750,Saharah,RoomTexWallPlaster00
mosaic-tile wall,1450,362,Nook's Cranny,RoomTexWallMosaicTile00
mossy-garden wall,3000,750,Saharah,RoomTexWallMoss00
mush wall,,21400,Crafting,RoomTexWallMush00
Nook Inc. wall,,6000,Nook Miles Shop,RoomTexWallFirst00
ocean-horizon wall,3000,750,Saharah,RoomSpWallHorizon00
office wall,3000,750,Saharah,RoomTexWallOffice00
old wallpaper,200,50,Nook's Cranny,RoomTexWallOld00
olive desert-tile wall,2440,610,Nook's Cranny,RoomTexWallMorocco03
orange camo wall,1150,287,Nook's Cranny,RoomTexWallCamouflage03
orange molded-panel wall,1980,495,Nook's Cranny,RoomTexWallPanelMold00
orange wall,,4000,Crafting,RoomTexWallOrange00
orange-paint wall,1600,400,Nook's Cranny,RoomTexWallStucco01
paintball wall,3000,750,Saharah,RoomTexWallAtelier00
palace wall,3000,750,Saharah,RoomSpWallPalace00
party wall,,370,Birthday,RoomTexWallParty00
pastel dotted wall,1100,275,Nook's Cranny,RoomTexWallDot01
pastel puzzle wall,1540,385,Nook's Cranny,RoomTexWallPuzzle00
peach two-toned tile wall,1850,462,Nook's Cranny,RoomTexWallTwoToneTile04
peach wall,,4000,Crafting,RoomTexWallPeach00
pear wall,,4000,Crafting,RoomTexWallPear00
perforated-board wall,1180,295,Nook's Cranny,RoomTexWallPegboard01
pink blossoming wall,1760,440,Nook's Cranny,RoomTexWallCountry01
pink diner wall,2420,605,Nook's Cranny,RoomTexWallDiner01
pink flower-print wall,1780,445,Nook's Cranny,RoomTexWallFlower00
pink heart-pattern wall,1280,320,Nook's Cranny,RoomTexWallHeart01
pink painted-wood wall,1650,412,Nook's Cranny,RoomTexWallPaintWood02
pink playroom wall,2540,635,Nook's Cranny,RoomTexWallToy01
pink quilt wall,2150,537,Nook's Cranny,RoomTexWallDollhouse00
pink shanty wall,620,155,Nook's Cranny,RoomTexWallTin01
pink simple-cloth wall,750,187,Nook's Cranny,RoomTexWallSimple02
pink-crown wall,2350,587,Nook's Cranny,RoomTexWallCrown02
pink-striped wall,1520,380,Nook's Cranny,RoomTexWallStripe01
purple camo wall,1150,287,Nook's Cranny,RoomTexWallCamouflage02
purple desert-tile wall,2440,610,Nook's Cranny,RoomTexWallMorocco02
purple dotted wall,1100,275,Nook's Cranny,RoomTexWallDot04
purple puzzle wall,1540,385,Nook's Cranny,RoomTexWallPuzzle03
purple quilt wall,2150,537,Nook's Cranny,RoomTexWallDollhouse03
purple-rose wall,1720,430,Nook's Cranny,RoomTexWallRose01
rammed-earth wall,1800,450,Nook's Cranny,RoomTexWallHanchiku00
ramshackle wall,3000,750,Saharah,RoomTexWallRuins00
red art-deco wall,2780,695,Nook's Cranny,RoomTexWallArtDeco01
red delicate-blooms wall,1900,475,Nook's Cranny,RoomTexWallManor01
red dotted wall,1100,275,Nook's Cranny,RoomTexWallDot02
red heart-pattern wall,1280,320,Nook's Cranny,RoomTexWallHeart03
red intricate wall,1570,392,Nook's Cranny,RoomTexWallFlowerPop03
red perforated-board wall,1180,295,Nook's Cranny,RoomTexWallPegboard03
red two-toned tile wall,1850,462,Nook's Cranny,RoomTexWallTwoToneTile03
red-brick wall,1000,250,Nook's Cranny,RoomTexWallBrick01
retro flower-print wall,1660,415,Nook's Cranny,RoomTexWallKitsch00
rice-paddy wall,3000,750,Saharah,RoomSpWallFarm00
ringside seating,3000,750,Saharah,RoomSpWallWrestling00
rock-climbing wall,3000,750,Saharah,RoomTexWallBouldering00
rose wall,1720,430,Nook's Cranny,RoomTexWallRose00
ruins wall,3000,750,Saharah,RoomTexWallRemains00
rustic-stone wall,,1750,Crafting,RoomTexWallStone00
sakura-wood wall,,3200,Crafting,RoomTexWallSolidWood00
sci-fi wall,,7500,Crafting,RoomSpWallSF00
screen wall,3000,750,Nook's Cranny,RoomTexWallFusuma00
sea view,3000,750,Saharah,RoomSpWallSeaView00
security-monitors wall,3000,750,Saharah,RoomSpWallMonitor00
sepia puzzle wall,1540,385,Nook's Cranny,RoomTexWallPuzzle02
server-room wall,3000,750,Saharah,RoomSpWallServer00
shoji screen,1880,470,Nook's Cranny,RoomSpWallShoji00
shutter wall,3000,750,Saharah,RoomTexWallShutter00
ski-slope wall,,3200,Crafting,RoomSpWallGelande00
skull wall,3000,750,Nook's Cranny,RoomSpWallSkull00
sky wall,3000,750,Saharah,RoomSpWallCloud00
skyscraper wall,3000,750,Saharah,RoomTexWallSkyscraper00
snowflake wall,,4800,Crafting,RoomTexWallSnowCrystal00
soothing tearoom wall,1750,437,Nook's Cranny,RoomTexWallMud01
stacked-wood wall,,1800,Crafting,RoomTexWallFireWood00
stadium wall,3000,750,Saharah,RoomSpWallStadium00
standard tearoom wall,1750,437,Nook's Cranny,RoomTexWallMud00
starry wall,,7500,Crafting,RoomSpWallStarPrint00
starry-sky wall,,7500,Crafting,RoomSpWallStarSky00
stately wall,2450,612,Nook's Cranny,RoomTexWallRenaissance00
steel-frame wall,,6000,Crafting,RoomTexWallSteel00
stone wall,,1500,Crafting,RoomTexWallBasement00
stormy-night wall,3000,750,Saharah,RoomSpWallThunder00
straw wall,3000,750,Saharah,RoomTexWallStraw00
strawberry-chocolate wall,3000,750,Saharah,RoomTexWallChocolate02
street-art wall,3000,750,Saharah,RoomTexWallStreetArt00
summit wall,3000,750,Saharah,RoomSpWallMountainTop00
tree-lined wall,3000,750,Saharah,RoomTexWallRoadsideTree00
tropical vista,,6000,Crafting,RoomSpWallTropical00
underwater wall,,8600,Crafting,RoomSpWallFishTank00
wavy-tile wall,1740,435,Nook's Cranny,RoomTexWallWaveTile00
western vista,3000,750,Saharah,RoomSpWallWilderness00
white botanical-tile wall,1240,310,Nook's Cranny,RoomTexWallWoodTile00
white delicate-blooms wall,1900,475,Nook's Cranny,RoomTexWallManor00
white hallway wall,2000,500,Nook's Cranny,RoomTexWallHall02
white honeycomb-tile wall,1680,420,Nook's Cranny,RoomTexWallHoneycomb03
white painted-wood wall,1650,412,Nook's Cranny,RoomTexWallPaintWood03
white perforated-board wall,1180,295,Nook's Cranny,RoomTexWallPegboard00
white simple-cloth wall,750,187,Nook's Cranny,RoomTexWallSimple00
white subway-tile wall,1340,335,Nook's Cranny,RoomTexWallMetro01
white-brick wall,1000,250,Nook's Cranny,RoomTexWallBrick00
white-chocolate wall,3000,750,Saharah,RoomTexWallChocolate01
white-rose wall,1720,430,Nook's Cranny,RoomTexWallRose02
wild-wood wall,,1800,Crafting,RoomTexWallWildWood00
wooden-knot wall,,1800,Crafting,RoomTexWallCedar00
wooden-mosaic wall,,1800,Crafting,RoomTexWallMixPlankWood00
woodland wall,,1380,Crafting,RoomTexWallJukai00
yellow flower-print wall,1780,445,Nook's Cranny,RoomTexWallFlower02
yellow heart-pattern wall,1280,320,Nook's Cranny,RoomTexWallHeart02
yellow intricate wall,1570,392,Nook's Cranny,RoomTexWallFlowerPop01
yellow playroom wall,2540,635,Nook's Cranny,RoomTexWallToy03
yellow quilt wall,2150,537,Nook's Cranny,RoomTexWallDollhouse02
yellow simple-cloth wall,750,187,Nook's Cranny,RoomTexWallSimple01
yellow-paint wall,1600,400,Nook's Cranny,RoomTexWallStucco00
yellow-striped wall,1520,380,Nook's Cranny,RoomTexWallStripe04
